cell_id,cycle_number,capacity_ah,ambient_c,soh_pct,window_charge_ah,ic_peak_height,ic_peak_voltage,voltage_slope_v_per_s,cv_phase_seconds,temp_rise_c,temp_max_c
B0005,2,1.846327,24.0,92.3164,0.958945,5.323981,3.988983,9.8e-05,5100.172,1.484506,29.341949
B0005,3,1.835349,24.0,91.7675,0.955955,5.338383,3.984746,9.9e-05,5128.766,1.448951,29.553301
B0005,4,1.835263,24.0,91.7631,0.952553,5.230264,3.950847,9.9e-05,5039.266,1.456741,29.45634
B0005,5,1.834646,24.0,91.7323,0.950805,5.196037,3.988983,0.0001,5009.109,1.397167,29.481334
B0005,6,1.835662,24.0,91.7831,0.94969,5.190964,3.94661,0.0001,4980.656,1.439065,29.39582
B0005,7,1.835146,24.0,91.7573,0.949493,5.181683,3.99322,0.0001,4943.0,1.502614,29.438424
B0005,8,1.825757,24.0,91.2878,0.94914,5.241131,3.984746,0.0001,4894.015,1.514173,29.510811
B0005,9,1.824774,24.0,91.2387,0.944933,5.151533,3.950847,0.000101,4901.094,1.375704,29.668814
B0005,10,1.824613,24.0,91.2307,0.94275,5.042064,3.950847,0.000101,4851.937,1.314442,29.779289
B0005,11,1.82462,24.0,91.231,0.941805,5.073091,3.950847,0.000101,4891.594,1.302464,29.711
B0005,12,1.814202,24.0,90.7101,0.906506,4.94064,3.94661,0.000106,4734.969,0.369444,30.376779
B0005,13,1.813752,24.0,90.6876,0.93602,5.105138,3.94661,0.000102,4783.578,1.241418,30.05302
B0005,14,1.81344,24.0,90.672,0.935457,5.127437,3.94661,0.000102,4820.235,1.191232,30.168469
B0005,15,1.802598,24.0,90.1299,0.934583,5.192159,3.988983,0.000102,4797.078,1.195145,30.060786
B0005,16,1.802107,24.0,90.1053,0.931857,5.097182,3.94661,0.000102,4869.125,1.160632,29.841053
B0005,17,1.80258,24.0,90.129,0.930031,5.197349,3.950847,0.000102,4784.078,1.106395,29.902363
B0005,18,1.803068,24.0,90.1534,0.927296,5.039962,3.942373,0.000103,4784.406,1.081136,30.108307
B0005,19,1.802778,24.0,90.1389,0.927568,5.266907,3.94661,0.000103,4835.266,1.045742,30.321324
B0005,20,1.847026,24.0,92.3513,1.002597,5.78053,3.963559,9.3e-05,4796.828,3.598738,29.01875
B0005,21,1.847417,24.0,92.3709,0.991425,5.692529,3.950847,9.5e-05,4728.156,3.454673,29.356472
B0005,22,1.836177,24.0,91.8089,0.988134,5.761058,3.94661,9.5e-05,4806.312,3.118168,29.327543
B0005,23,1.825781,24.0,91.289,0.983897,5.612203,3.950847,9.5e-05,4849.188,3.110317,28.938507
B0005,24,1.825114,24.0,91.2557,0.980079,5.547085,3.99322,9.6e-05,4861.094,3.114415,28.75479
B0005,25,1.825582,24.0,91.2791,0.978553,5.648206,3.955085,9.6e-05,4820.656,3.126188,28.688602
B0005,26,1.814031,24.0,90.7016,0.976261,5.503642,3.950847,9.6e-05,4836.14,3.082234,28.633407
B0005,27,1.814769,24.0,90.7385,0.973311,5.54459,3.955085,9.6e-05,4905.187,3.086414,28.589954
B0005,28,1.813969,24.0,90.6985,0.971397,5.447418,3.955085,9.7e-05,4872.094,3.081115,28.501766
B0005,29,1.802766,24.0,90.1383,0.969672,5.541071,3.950847,9.7e-05,4857.906,3.10137,28.530898
B0005,30,1.804077,24.0,90.2039,0.966645,5.541316,3.950847,9.7e-05,4864.438,3.081946,28.577659
B0005,31,1.830704,24.0,91.5352,0.969023,5.512363,3.950847,9.9e-05,4806.593,2.994707,28.988708
B0005,32,1.819904,24.0,90.9952,0.965373,5.575046,3.950847,9.9e-05,4866.828,2.883232,29.096041
B0005,33,1.809308,24.0,90.4654,0.960308,5.365709,3.950847,0.0001,4887.796,2.779768,28.801172
B0005,34,1.80461,24.0,90.2305,0.95592,5.401669,3.950847,0.0001,4967.953,2.7909,28.457076
B0005,35,1.799377,24.0,89.9689,0.954119,5.426687,3.950847,0.0001,4951.187,2.960951,28.652647
B0005,36,1.788443,24.0,89.4222,0.950605,5.450681,3.950847,0.000101,4981.75,2.842282,28.898824
B0005,37,1.782923,24.0,89.1462,0.945743,5.277341,3.99322,0.000101,4975.625,2.799802,28.633513
B0005,38,1.773034,24.0,88.6517,0.941725,5.261672,3.955085,0.000102,5005.953,2.698139,28.473513
B0005,39,1.773038,24.0,88.6519,0.936653,5.214082,3.955085,0.000102,5068.172,2.656714,28.254096
B0005,40,1.767872,24.0,88.3936,0.936531,5.191653,3.950847,0.000102,5038.25,2.81321,28.781761
B0005,41,1.762315,24.0,88.1158,0.932889,5.214644,3.950847,0.000103,4986.609,2.745844,29.239711
B0005,42,1.767617,24.0,88.3809,0.929329,5.100791,3.959322,0.000103,5035.531,2.653928,29.202151
B0005,43,1.762668,24.0,88.1334,0.946765,5.308072,3.997458,0.0001,5038.219,3.770629,28.994866
B0005,44,1.75173,24.0,87.5865,0.927038,5.089743,3.955085,0.000103,5055.688,2.697003,28.68938
B0005,45,1.74185,24.0,87.0925,0.921876,5.006681,4.005932,0.000104,5096.046,2.71941,28.498796
B0005,46,1.736091,24.0,86.8046,0.916371,5.166207,3.99322,0.000104,5107.031,2.697852,28.479908
B0005,47,1.793624,24.0,89.6812,0.946218,5.125593,3.963559,0.0001,4889.172,3.553307,29.037855
B0005,48,1.783189,24.0,89.1595,0.945359,5.206254,3.942373,0.000102,4787.844,2.833012,31.187718
B0005,49,1.767364,24.0,88.3682,0.937541,5.193104,3.94661,0.000103,4831.766,2.852214,30.582056
B0005,50,1.757018,24.0,87.8509,0.930735,5.156938,3.950847,0.000103,4892.453,2.820748,29.827437
B0005,51,1.746871,24.0,87.3435,0.924886,5.261319,3.950847,0.000104,4966.86,2.772366,29.510756
B0005,52,1.741717,24.0,87.0859,0.919215,5.076542,3.959322,0.000104,5045.406,2.771207,29.242613
B0005,53,1.736423,24.0,86.8211,0.915527,5.006447,3.955085,0.000105,5024.375,2.721286,29.462119
B0005,54,1.726322,24.0,86.3161,0.911434,4.945447,3.950847,0.000105,5113.844,2.667181,29.508344
B0005,55,1.715807,24.0,85.7903,0.906451,4.998108,3.955085,0.000106,5119.094,2.658459,29.374561
B0005,56,1.710533,24.0,85.5267,0.901239,4.851999,4.005932,0.000106,5168.579,2.640971,29.242378
B0005,57,1.706014,24.0,85.3007,0.89652,4.807454,3.959322,0.000107,5188.36,2.628593,29.19441
B0005,58,1.700311,24.0,85.0156,0.894613,4.916177,3.959322,0.000107,5171.906,2.690795,29.651226
